,Text,Type
0,process management,SKILL
1,transactional email,SKILL
2,manufacturing engineering,SKILL
3,mobility management,SKILL
4,binary search tree,SKILL
5,sendbird,SKILL
6,adaptive system,SKILL
7,font,SKILL
8,adobe photoshop,SKILL
9,cepstrum,SKILL
10,softlayer,SKILL
11,wiener filter,SKILL
12,prosthesis,SKILL
13,codekit,SKILL
14,structural equation modeling,SKILL
15,highcharts,SKILL
16,information retrieval,SKILL
17,sonatype nexus,SKILL
18,backbone.js,SKILL
19,datalog,SKILL
20,oxygene,SKILL
21,puppeteer,SKILL
22,nuclear engineering,SKILL
23,google cloud dataflow,SKILL
24,publishing,SKILL
25,amazon cloudwatch,SKILL
26,multi-agent system,SKILL
27,superresolution,SKILL
28,lambda calculus,SKILL
29,openlayers,SKILL
30,multi user,SKILL
31,jetty,SKILL
32,mapbox,SKILL
33,sparkpost,SKILL
34,asana,SKILL
35,trecvid,SKILL
36,transparency graphic,SKILL
37,signalr,SKILL
38,phaser,SKILL
39,inference,SKILL
40,sketch,SKILL
41,programming language,SKILL
42,kong,SKILL
43,optical imaging,SKILL
44,round-trip delay time,SKILL
45,amazon kinesis firehose,SKILL
46,variables,SKILL
47,linear temporal logic,SKILL
48,github pages,SKILL
49,document processing,SKILL
50,azure cosmos db,SKILL
51,viterbi algorithm,SKILL
52,junit,SKILL
53,computer-aided software engineering,SKILL
54,kanban tool,SKILL
55,amazon ec2 container service,SKILL
56,language model,SKILL
57,information extraction,SKILL
58,cross-platform mobile tools,SKILL
59,deductive database,SKILL
60,replication computing,SKILL
61,ember js,SKILL
62,logic programming,SKILL
63,web document,SKILL
64,commerce,SKILL
65,training set,SKILL
66,erlang,SKILL
67,arbol,SKILL
68,network delay,SKILL
69,pixel,SKILL
70,awx,SKILL
71,raspberry pi,SKILL
72,greedy algorithm,SKILL
73,feature detection,SKILL
74,seesaw,SKILL
75,logrocket,SKILL
76,least squares,SKILL
77,twitter,SKILL
78,handlebars.js,SKILL
79,karma,SKILL
80,facial expression,SKILL
81,metadata,SKILL
82,media access control,SKILL
83,marionette,SKILL
84,front and back ends,SKILL
85,tower,SKILL
86,geotagging,SKILL
87,kubernetes,SKILL
88,static random-access memory,SKILL
89,screen sharing,SKILL
90,abstract data type,SKILL
91,docker machine,SKILL
92,hosted blogging platforms,SKILL
93,wireless,SKILL
94,website monitoring,SKILL
95,top down and bottom up design,SKILL
96,microcomputer,SKILL
97,template matching,SKILL
98,intuitionistic logic,SKILL
99,multivariate statistics,SKILL
100,emotion recognition,SKILL
101,vuex,SKILL
102,netlify,SKILL
103,amazon ec2,SKILL
104,uglifyjs,SKILL
105,resource allocation,SKILL
106,particle filter,SKILL
107,pug,SKILL
108,paypal,SKILL
109,wakatime,SKILL
110,python,SKILL
111,smart card,SKILL
112,rubocop,SKILL
113,data center,SKILL
114,communication in small groups,SKILL
115,euclidean distance,SKILL
116,artificial neural network,SKILL
117,computer data storage,SKILL
118,version control system,SKILL
119,localhost tools,SKILL
120,change detection,SKILL
121,distributed object,SKILL
122,engineering,SKILL
123,cellular network,SKILL
124,spreadsheets as a backend,SKILL
125,built-in self-test,SKILL
126,queueing theory,SKILL
127,react native,SKILL
128,api ai,SKILL
129,web app builders,SKILL
130,hexo,SKILL
131,engineering ethics,SKILL
132,capybara,SKILL
133,google cloud functions,SKILL
134,cross platform mobile tools,SKILL
135,phpunit,SKILL
136,workload,SKILL
137,mariadb,SKILL
138,question answering,SKILL
139,random projection,SKILL
140,computer programming,SKILL
141,blind signal separation,SKILL
142,result set,SKILL
143,runscope,SKILL
144,flurry,SKILL
145,exact algorithm,SKILL
146,data structures,SKILL
147,goodness of fit,SKILL
148,chemometrics,SKILL
149,aws direct connect,SKILL
150,codeigniter,SKILL
151,p2p,SKILL
152,runtime system,SKILL
153,gtp',SKILL
154,unified medical language system,SKILL
155,pushdown automaton,SKILL
156,knockoutjs,SKILL
157,discrete logarithm,SKILL
158,user feedback as a service,SKILL
159,hipchat,SKILL
160,key exchange,SKILL
161,information filtering system,SKILL
162,operator computer programming,SKILL
163,stackdriver,SKILL
164,kendo ui,SKILL
165,skype,SKILL
166,airflow,SKILL
167,drupal,SKILL
168,pandas,SKILL
169,styled components,SKILL
170,signal processing,SKILL
171,mvc tools,SKILL
172,deadlock,SKILL
173,discrete cosine transform,SKILL
174,peak signal-to-noise ratio,SKILL
175,realtime backend / api,SKILL
176,serverless,SKILL
177,user management and authentication,SKILL
178,.net,SKILL
179,decidability,SKILL
180,dyn,SKILL
181,vagrant,SKILL
182,semantic similarity,SKILL
183,hazelcast,SKILL
184,distributed data store,SKILL
185,component analysis,SKILL
186,google cloud memorystore,SKILL
187,nats,SKILL
188,redis hosting,SKILL
189,spacevim,SKILL
190,persistence computer science,SKILL
191,codec,SKILL
192,airtable,SKILL
193,sentry,SKILL
194,ruby,SKILL
195,prolog,SKILL
196,cognitive neuroscience of visual object recognition,SKILL
197,encryption,SKILL
198,software-defined networking,SKILL
199,forensic engineering,SKILL
200,telephony,SKILL
201,eye tracking,SKILL
202,buildkite,SKILL
203,automatic programming,SKILL
204,word error rate,SKILL
205,denial-of-service attack,SKILL
206,handover,SKILL
207,raml,SKILL
208,biometrics,SKILL
209,high level programming language,SKILL
210,mobile database,SKILL
211,systems engineering,SKILL
212,computer cluster,SKILL
213,database transaction,SKILL
214,jenkins,SKILL
215,rdf,SKILL
216,cross validation,SKILL
217,formal specification,SKILL
218,fabric by twitter,SKILL
219,metabase,SKILL
220,terminal,SKILL
221,android,SKILL
222,databases,SKILL
223,bot,SKILL
224,amazon machine learning,SKILL
225,virtual circuit,SKILL
226,google drive,SKILL
227,computer multitasking,SKILL
228,postmark,SKILL
229,customer relationship management,SKILL
230,construction engineering,SKILL
231,plagiarism detection,SKILL
232,contingency table,SKILL
233,marine engineering,SKILL
234,google analytics,SKILL
235,flask,SKILL
236,mapping apis,SKILL
237,information discovery,SKILL
238,insomnia rest client,SKILL
239,hugo,SKILL
240,apigee,SKILL
241,flow control data,SKILL
242,medium,SKILL
243,speech processing,SKILL
244,typescript,SKILL
245,data visualization,SKILL
246,dependency management,SKILL
247,brute-force search,SKILL
248,dempster–shafer theory,SKILL
249,qunit,SKILL
250,network model,SKILL
251,mixpanel,SKILL
252,code coverage,SKILL
253,couchbase,SKILL
254,clojurescript,SKILL
255,general analytics,SKILL
256,stars,SKILL
257,integrated circuit design,SKILL
258,json server,SKILL
259,opengl,SKILL
260,ava,SKILL
261,google bigquery,SKILL
262,pusher,SKILL
263,digital filter,SKILL
264,jest,SKILL
265,reverse engineering,SKILL
266,cryptography,SKILL
267,mesosphere,SKILL
268,flat panel display,SKILL
269,gogs,SKILL
270,platform as a service tools,SKILL
271,tailwind css,SKILL
272,hotjar,SKILL
273,rust,SKILL
274,haskell,SKILL
275,virtual private cloud,SKILL
276,plotly,SKILL
277,network architecture,SKILL
278,concurrency frameworks,SKILL
279,fingerprint recognition,SKILL
280,dijkstra's algorithm,SKILL
281,inter process communication,SKILL
282,wide area network,SKILL
283,application programming interface,SKILL
284,principal component analysis,SKILL
285,point spread function,SKILL
286,pixel art,SKILL
287,diagram,SKILL
288,wercker,SKILL
289,real-time data,SKILL
290,engagement/lifecycle marketing,SKILL
291,biomedical engineering,SKILL
292,decision tree,SKILL
293,biochemical engineering,SKILL
294,markdown,SKILL
295,akamai,SKILL
296,data modeling,SKILL
297,power management,SKILL
298,namecheap,SKILL
299,rspec,SKILL
300,socket.io,SKILL
301,decomposition method constraint satisfaction,SKILL
302,knowledge extraction,SKILL
303,rollbar,SKILL
304,smoothing,SKILL
305,data system,SKILL
306,api tools,SKILL
307,sensor fusion,SKILL
308,data file,SKILL
309,curve fitting,SKILL
310,automatic summarization,SKILL
311,amazon ebs,SKILL
312,factorial experiment,SKILL
313,gulp,SKILL
314,kullback–leibler divergence,SKILL
315,operating system,SKILL
316,knowledge acquisition,SKILL
317,load and performance testing,SKILL
318,error concealment,SKILL
319,sequential pattern mining,SKILL
320,ember.js,SKILL
321,webpack,SKILL
322,appveyor,SKILL
323,google cloud container builder,SKILL
324,queue,SKILL
325,aws codepipeline,SKILL
326,haml,SKILL
327,ontology information science,SKILL
328,website builder,SKILL
329,pingdom,SKILL
330,zendesk,SKILL
331,pattern matching,SKILL
332,voice over ip,SKILL
333,hibernate,SKILL
334,motion analysis,SKILL
335,f#,SKILL
336,task management,SKILL
337,status page hosting,SKILL
338,statistical model,SKILL
339,high level synthesis,SKILL
340,help desk,SKILL
341,analytics,SKILL
342,javascript utilities & libraries,SKILL
343,intelligent network,SKILL
344,couchdb,SKILL
345,parallel computing,SKILL
346,bag of words model,SKILL
347,program synthesis,SKILL
348,postgis,SKILL
349,asp.net,SKILL
350,scaffold,SKILL
351,computer file,SKILL
352,devdocs,SKILL
353,babel,SKILL
354,django,SKILL
355,zoho crm,SKILL
356,opensuse,SKILL
357,amazon elasticsearch service,SKILL
358,tree automaton,SKILL
359,conceptual model,SKILL
360,angularjs,SKILL
361,object document mapper odm,SKILL
362,coreos,SKILL
363,perl,SKILL
364,growbag,SKILL
365,lxd,SKILL
366,object model,SKILL
367,region of interest,SKILL
368,intercom,SKILL
369,real time data processing,SKILL
370,authentication,SKILL
371,access method,SKILL
372,amazon web services,SKILL
373,rule based system,SKILL
374,object oriented programming,SKILL
375,document signature,SKILL
376,boolean algebra,SKILL
377,colorimetry,SKILL
378,expander graph,SKILL
379,redux js,SKILL
380,infrastructure build tools,SKILL
381,tf–idf,SKILL
382,pubnub,SKILL
383,programmable logic device,SKILL
384,router,SKILL
385,deployment as a service,SKILL
386,liquid-crystal display,SKILL
387,overlay network,SKILL
388,alpine linux,SKILL
389,data science,SKILL
390,image processing and management,SKILL
391,confirmatory factor analysis,SKILL
392,packer,SKILL
393,c++,SKILL
394,elasticsearch,SKILL
395,data extraction,SKILL
396,mongolab,SKILL
397,linear search,SKILL
398,regression analysis,SKILL
399,druid,SKILL
400,generalized linear model,SKILL
401,ajax,SKILL
402,topic model,SKILL
403,grunt,SKILL
404,spread spectrum,SKILL
405,component,SKILL
406,quality of service,SKILL
407,search retrieve via url,SKILL
408,sails js,SKILL
409,gearman,SKILL
410,decision rule,SKILL
411,hogan js,SKILL
412,reliability computer networking,SKILL
413,node js,SKILL
414,parcel,SKILL
415,sinatra,SKILL
416,ffmpeg,SKILL
417,source document,SKILL
418,optical disc,SKILL
419,piwik,SKILL
420,photogrammetry,SKILL
421,mobile push messaging,SKILL
422,arch linux,SKILL
423,rule-based system,SKILL
424,structured document,SKILL
425,context free language,SKILL
426,coordinate system,SKILL
427,art & architecture thesaurus,SKILL
428,code review,SKILL
429,mailchimp,SKILL
430,log management,SKILL
431,liquibase,SKILL
432,computation,SKILL
433,pouchdb,SKILL
434,amazon dynamodb,SKILL
435,apache flink,SKILL
436,optical recording,SKILL
437,text editor,SKILL
438,data management,SKILL
439,server configuration and automation,SKILL
440,clinicalkey,SKILL
441,concurrency,SKILL
442,travis ci,SKILL
443,loggly,SKILL
444,stripe,SKILL
445,dynamic testing,SKILL
446,linear regression,SKILL
447,istio,SKILL
448,design for testing,SKILL
449,rule of thumb,SKILL
450,application-specific integrated circuit,SKILL
451,predictive coding,SKILL
452,node.js,SKILL
453,triangulation social science,SKILL
454,aspect oriented programming,SKILL
455,divide and conquer algorithms,SKILL
456,ibm   api connect,SKILL
457,model based reasoning,SKILL
458,superset,SKILL
459,aws fargate,SKILL
460,figma,SKILL
461,material design,SKILL
462,wireless network,SKILL
463,local area network,SKILL
464,clubhouse,SKILL
465,debugging,SKILL
466,group chat & notifications,SKILL
467,virtual organization,SKILL
468,spatial frequency,SKILL
469,php,SKILL
470,kafka,SKILL
471,social media tools,SKILL
472,multi core processor,SKILL
473,fortran,SKILL
474,coffeescript,SKILL
475,jquery mobile,SKILL
476,languages,SKILL
477,kernel linear algebra,SKILL
478,operations management,SKILL
479,telegram bot api,SKILL
480,amazon sqs,SKILL
481,interaction,SKILL
482,funnel analysis analytics,SKILL
483,mixed model,SKILL
484,ir evaluation,SKILL
485,amazon eks,SKILL
486,engagement lifecycle marketing,SKILL
487,software,SKILL
488,lastpass,SKILL
489,cataloging,SKILL
490,etcd,SKILL
491,web service,SKILL
492,adaptive routing,SKILL
493,database,SKILL
494,peer-to-peer,SKILL
495,cucumber,SKILL
496,laravel forge,SKILL
497,knowledge-based systems,SKILL
498,ngrok,SKILL
499,neural coding,SKILL
500,open source cloud,SKILL
501,consistency model,SKILL
502,errors-in-variables models,SKILL
503,devops,SKILL
504,text processing,SKILL
505,lua,SKILL
506,mercurial,SKILL
507,data science tools,SKILL
508,data cube,SKILL
509,data processing,SKILL
510,azure functions,SKILL
511,html,SKILL
512,search engine,SKILL
513,memory management,SKILL
514,feature vector,SKILL
515,telecommunications,SKILL
516,zenefits,SKILL
517,liquid crystal display,SKILL
518,point-to-point,SKILL
519,spatial analysis,SKILL
520,finite state machine,SKILL
521,headless browsers,SKILL
522,random access,SKILL
523,virtual machine platforms & containers,SKILL
524,disjunctive normal form,SKILL
525,dc/os,SKILL
526,appium,SKILL
527,amazon kinesis,SKILL
528,hidden markov model,SKILL
529,koding,SKILL
530,point location,SKILL
531,polymer,SKILL
532,word sense disambiguation,SKILL
533,strongly connected component,SKILL
534,color vision,SKILL
535,enterprise system,SKILL
536,autonomic computing,SKILL
537,static site generators,SKILL
538,vmware vsphere,SKILL
539,angular,SKILL
540,image analysis api,SKILL
541,css,SKILL
542,html5,SKILL
543,testflight,SKILL
544,data science notebooks,SKILL
545,technological change,SKILL
546,big data as a service,SKILL
547,sql database as a service,SKILL
548,3d reconstruction,SKILL
549,handlebars js,SKILL
550,critical section,SKILL
551,exploratory data analysis,SKILL
552,knex js,SKILL
553,information overload,SKILL
554,unicorn,SKILL
555,remote procedure call,SKILL
556,cloud9 ide,SKILL
557,transport engineering,SKILL
558,data warehouse,SKILL
559,gsm,SKILL
560,php mvc,SKILL
561,visualization,SKILL
562,document retrieval,SKILL
563,unreal engine,SKILL
564,broadcasting,SKILL
565,analysis of variance,SKILL
566,skeleton computer programming,SKILL
567,espace,SKILL
568,application hosting,SKILL
569,real time computing,SKILL
570,cryptographic protocol,SKILL
571,quantum computer,SKILL
572,symmetric multiprocessor system,SKILL
573,loader.io,SKILL
574,travelling salesman problem,SKILL
575,routing protocol,SKILL
576,range query data structures,SKILL
577,advertising,SKILL
578,amazon sns,SKILL
579,sqlalchemy,SKILL
580,data analysis,SKILL
581,ml,SKILL
582,magento,SKILL
583,mandrill,SKILL
584,rabbitmq,SKILL
585,hybrid system,SKILL
586,distributed memory,SKILL
587,communications protocol,SKILL
588,cluster analysis,SKILL
589,data mining,SKILL
590,code collaboration & version control,SKILL
591,industrial engineering,SKILL
592,time to market,SKILL
593,quantifier elimination,SKILL
594,scanner,SKILL
595,sublime text,SKILL
596,semantic web stack,SKILL
597,deploybot,SKILL
598,file format,SKILL
