,Text,Type
0,consistency model,SKILL
1,network architecture,SKILL
2,uglifyjs,SKILL
3,managed memcache,SKILL
4,noisy data,SKILL
5,mobx,SKILL
6,mobility management,SKILL
7,central processing unit,SKILL
8,hipchat,SKILL
9,data compression,SKILL
10,communications sdk,SKILL
11,adaptive routing,SKILL
12,graphite,SKILL
13,sourcetree,SKILL
14,communication in small groups,SKILL
15,sentry,SKILL
16,fragmentation computing,SKILL
17,line-of-sight,SKILL
18,lookup table,SKILL
19,opengl,SKILL
20,civil engineering,SKILL
21,kanban for github issues,SKILL
22,denial of service attack,SKILL
23,influxdb,SKILL
24,mysql,SKILL
25,hogan.js,SKILL
26,point spread function,SKILL
27,spread spectrum,SKILL
28,underscore,SKILL
29,gearman,SKILL
30,apiary,SKILL
31,logic synthesis,SKILL
32,nativescript,SKILL
33,mobile database,SKILL
34,react,SKILL
35,traffic engineering,SKILL
36,cross platform mobile tools,SKILL
37,random effects model,SKILL
38,field of view,SKILL
39,automated theorem proving,SKILL
40,algolia,SKILL
41,faceted classification,SKILL
42,data validation,SKILL
43,flask,SKILL
44,geographic information retrieval,SKILL
45,objective c,SKILL
46,ant design,SKILL
47,coding social sciences,SKILL
48,fuzzy logic,SKILL
49,.net,SKILL
50,common object request broker architecture,SKILL
51,monero,SKILL
52,ambiguity,SKILL
53,grape,SKILL
54,express js,SKILL
55,language parsing,SKILL
56,international trade,SKILL
57,information discovery,SKILL
58,divide and conquer algorithms,SKILL
59,infrastructure build tools,SKILL
60,survey widget,SKILL
61,kernel linear algebra,SKILL
62,guzzle,SKILL
63,shared memory,SKILL
64,redis cloud,SKILL
65,bootswatch,SKILL
66,location-based service,SKILL
67,transition system,SKILL
68,image registration,SKILL
69,prestashop,SKILL
70,gulp,SKILL
71,time to market,SKILL
72,optical disc,SKILL
73,lucene,SKILL
74,p system,SKILL
75,text box,SKILL
76,laravel,SKILL
77,look-ahead,SKILL
78,linear prediction,SKILL
79,gitlab pages,SKILL
80,chrome,SKILL
81,rocket,SKILL
82,codebook,SKILL
83,ffmpeg,SKILL
84,gtp',SKILL
85,flow type,SKILL
86,rails,SKILL
87,coffeescript,SKILL
88,application specific integrated circuit,SKILL
89,artificial neural network,SKILL
90,incremental learning,SKILL
91,standard ml,SKILL
92,supervised learning,SKILL
93,arch linux,SKILL
94,text retrieval conference,SKILL
95,field-programmable gate array,SKILL
96,semi supervised learning,SKILL
97,amazon dynamodb,SKILL
98,pusher,SKILL
99,graph databases,SKILL
100,symmetric multiprocessor system,SKILL
101,actuator,SKILL
102,nosql,SKILL
103,nitrous io,SKILL
104,data exchange,SKILL
105,communication complexity,SKILL
106,knowledge modeling,SKILL
107,redux js,SKILL
108,computer graphics,SKILL
109,gatsby,SKILL
110,namecheap,SKILL
111,object detection,SKILL
112,mastodon,SKILL
113,range query data structures,SKILL
114,numerical stability,SKILL
115,css,SKILL
116,live reloading,SKILL
117,cryptocurrency,SKILL
118,continuum design consultancy,SKILL
119,cypress,SKILL
120,ruby,SKILL
121,wide area network,SKILL
122,puppeteer,SKILL
123,ibm - api connect,SKILL
124,feature detection,SKILL
125,management science,SKILL
126,google app engine,SKILL
127,amazon vpc,SKILL
128,vuex,SKILL
129,graphql,SKILL
130,npm,SKILL
131,predictive value of tests,SKILL
132,julia,SKILL
133,travis ci,SKILL
134,cross validation,SKILL
135,advertising,SKILL
136,resource allocation,SKILL
137,aws elastic beanstalk,SKILL
138,couchbase,SKILL
139,nightwatchjs,SKILL
140,rancher,SKILL
141,airtable,SKILL
142,cross platform mobile development,SKILL
143,feature vector,SKILL
144,framer,SKILL
145,flutter,SKILL
146,documentation,SKILL
147,gatling,SKILL
148,system testing,SKILL
149,interpolation,SKILL
150,windows,SKILL
151,sonar,SKILL
152,document management system,SKILL
153,optical flow,SKILL
154,document collaboration,SKILL
155,1password,SKILL
156,landing pages,SKILL
157,canonical correlation,SKILL
158,mobile radio,SKILL
159,browser testing,SKILL
160,computer hardware,SKILL
161,azure machine learning,SKILL
162,aws codedeploy,SKILL
163,coveralls,SKILL
164,model checking,SKILL
165,software defined radio,SKILL
166,computer vision,SKILL
167,gluon,SKILL
168,backbone js,SKILL
169,brute-force search,SKILL
170,logic programming,SKILL
171,unity,SKILL
172,"build, test, deploy",SKILL
173,marine engineering,SKILL
174,phoenix framework,SKILL
175,ajax,SKILL
176,photogrammetry,SKILL
177,computability,SKILL
178,node js process manager,SKILL
179,eye tracking,SKILL
180,optimizely,SKILL
181,stars,SKILL
182,process management,SKILL
183,html5,SKILL
184,packer,SKILL
185,functional programming,SKILL
186,sliding window protocol,SKILL
187,heap,SKILL
188,strips,SKILL
189,internetworking,SKILL
190,google scholar and academic libraries,SKILL
191,shape analysis digital geometry,SKILL
192,stemming,SKILL
193,industrial engineering,SKILL
194,mongodb stitch,SKILL
195,synthetic aperture radar,SKILL
196,blockchain,SKILL
197,nsq,SKILL
198,library science,SKILL
199,amazon rds for aurora,SKILL
200,amazon ses,SKILL
201,information flow information theory,SKILL
202,create react native app,SKILL
203,release,SKILL
204,gradle,SKILL
205,yii,SKILL
206,bulma,SKILL
207,web app builders,SKILL
208,complex system,SKILL
209,viterbi algorithm,SKILL
210,headless browsers,SKILL
211,copy protection,SKILL
212,hazelcast,SKILL
213,nitrous.io,SKILL
214,scale space,SKILL
215,stereopsis,SKILL
216,mailgun,SKILL
217,process engineering,SKILL
218,greedy algorithm,SKILL
219,lxc,SKILL
220,information extraction,SKILL
221,apache ant,SKILL
222,fastlane,SKILL
223,kalman filter,SKILL
224,web servers,SKILL
225,microframeworks backend,SKILL
226,nomad,SKILL
227,design for testing,SKILL
228,apigee,SKILL
229,motion analysis,SKILL
230,dependency management,SKILL
231,liquid crystal display,SKILL
232,invision,SKILL
233,human visual system model,SKILL
234,react storybook,SKILL
235,d3.js,SKILL
236,high level programming language,SKILL
237,hubspot,SKILL
238,yeoman,SKILL
239,c++,SKILL
240,stream processing,SKILL
241,transport layer,SKILL
242,data mining,SKILL
243,telecommunications network,SKILL
244,uppy,SKILL
245, net,SKILL
246,eslint,SKILL
247,drone.io,SKILL
248,critical mass software engineering,SKILL
249,go.cd,SKILL
250,wimax,SKILL
251,crashlytics,SKILL
252,django rest framework,SKILL
253,fabric by twitter,SKILL
254,hapi,SKILL
255,network management,SKILL
256,wakatime,SKILL
257,ember.js,SKILL
258,record linkage,SKILL
259,tf–idf,SKILL
260,knapsack problem,SKILL
261,keyword extraction,SKILL
262,zend framework,SKILL
263,stackdriver,SKILL
264,mandrill,SKILL
265,buffer,SKILL
266,conceptual model,SKILL
267,data center,SKILL
268,discrete cosine transform,SKILL
269,storm,SKILL
270,dempster–shafer theory,SKILL
271,deductive database,SKILL
272,critical section,SKILL
273,akka,SKILL
274,computer architecture,SKILL
275,deployment,SKILL
276,spree,SKILL
277,information integration,SKILL
278,rubymine,SKILL
279,metis,SKILL
280,network layer,SKILL
281,linked data,SKILL
282,perl 6,SKILL
283,numpy,SKILL
284,help desk,SKILL
285,clinicalkey,SKILL
286,password management,SKILL
287,sass,SKILL
288,javascript mvc frameworks,SKILL
289,queue,SKILL
290,dynamic programming,SKILL
291,mobile computing,SKILL
292,network security,SKILL
293,semantic ui react,SKILL
294,shift register,SKILL
295,layout engine,SKILL
296,controlled vocabulary,SKILL
297,domain model,SKILL
298,inference,SKILL
299,enterprise system,SKILL
300,amazon elasticsearch service,SKILL
301,telecommunications,SKILL
302,softlayer,SKILL
303,codeigniter,SKILL
304,growbag,SKILL
305,communications protocol,SKILL
306,hybrid system,SKILL
307,zoho crm,SKILL
308,lambda calculus,SKILL
309,conventional pci,SKILL
310,process calculus,SKILL
311,temporal database,SKILL
312,mathematical logic,SKILL
313,load balancing computing,SKILL
314,tools for github,SKILL
315,web service automation,SKILL
316,user feedback as a service,SKILL
317,vue js,SKILL
318,programming language,SKILL
319,sequential logic,SKILL
320,brute force search,SKILL
321,query optimization,SKILL
322,azure,SKILL
323,broadcasting,SKILL
324,overlay network,SKILL
325,crowdsourcing,SKILL
326,css pre-processors / extensions,SKILL
327,front-end frameworks,SKILL
328,swiftype,SKILL
329,react js boilerplate,SKILL
330,business,SKILL
331,read-write memory,SKILL
332,linear discriminant analysis,SKILL
333,machine learning tools,SKILL
334,javascript testing framework,SKILL
335,unreal engine,SKILL
336,phabricator,SKILL
337,batch processing,SKILL
338,genetic algorithm,SKILL
339,amazon ebs,SKILL
340,lua,SKILL
341,figure of merit,SKILL
342,automaton,SKILL
343,web service,SKILL
344,echo,SKILL
345,google cloud sql,SKILL
346,devdocs,SKILL
347,round trip delay time,SKILL
348,open source service discovery,SKILL
349,abstract interpretation,SKILL
350,linear model,SKILL
351,mean shift,SKILL
352,google cloud memorystore,SKILL
353,file system,SKILL
354,concurrency,SKILL
355,data acquisition,SKILL
356,top-down and bottom-up design,SKILL
357,nats,SKILL
358,grails,SKILL
359,grafana,SKILL
360,topic maps,SKILL
361,phonegap,SKILL
362,mvc tools,SKILL
363,real time data processing,SKILL
364,gist,SKILL
365,task management,SKILL
366,logical framework,SKILL
367,industrial organization,SKILL
368,lodash,SKILL
369,image processing,SKILL
370,ifttt,SKILL
371,social media tools,SKILL
372,aws iam,SKILL
373,nuxt,SKILL
374,data pre-processing,SKILL
375,low pass filter,SKILL
376,solr,SKILL
377,doctrine 2,SKILL
378,text processing,SKILL
379,classical logic,SKILL
380,operations research,SKILL
381,gitlab,SKILL
382,wordnet,SKILL
383,synthetic data,SKILL
384,geotechnical engineering,SKILL
385,angular 2,SKILL
386,boolean expression,SKILL
387,graphic design,SKILL
388,image resolution,SKILL
389,nlu,SKILL
390,hockeyapp,SKILL
391,mailjet,SKILL
392,compose,SKILL
393,word sense disambiguation,SKILL
394,self-organization,SKILL
395,engineering drawing,SKILL
396,discrete event simulation,SKILL
397,prolog,SKILL
398,distributed data store,SKILL
399,email testing,SKILL
400,mixpanel,SKILL
401,waste management,SKILL
402,heatmap analytics,SKILL
403,scalability,SKILL
404,image analysis api,SKILL
405,multicast,SKILL
406,program analysis,SKILL
407,business dashboards,SKILL
408,capybara,SKILL
409,virtual circuit,SKILL
410,image retrieval,SKILL
411,magento,SKILL
412,next generation network,SKILL
413,activemq,SKILL
414,computer file,SKILL
415,pulse signal processing,SKILL
416,cloud functions for firebase,SKILL
417,mobile continuous integration,SKILL
418,fingerprint recognition,SKILL
419,routing protocol,SKILL
420,ionic,SKILL
421,javascript,SKILL
422,decision problem,SKILL
423,virtual reality,SKILL
424,matlab,SKILL
425,relative record data set,SKILL
426,scala,SKILL
427,application programming interface,SKILL
428,augmented reality,SKILL
429,system integration,SKILL
430,trecvid,SKILL
431,pattern matching,SKILL
432,chef,SKILL
433,high availability,SKILL
434,caddy,SKILL
435,quantization signal processing,SKILL
436,bitbucket,SKILL
437,material,SKILL
438,exact algorithm,SKILL
439,region of interest,SKILL
440,user profile,SKILL
441,twilio,SKILL
442,pubnub,SKILL
443,aws elastic load balancing elb,SKILL
444,digital signature,SKILL
445,mobile station,SKILL
446,latent semantic indexing,SKILL
447,sequential pattern mining,SKILL
448,semantic web stack,SKILL
449,non-volatile memory,SKILL
450,pico-8,SKILL
451,bash,SKILL
452,integrated services digital network,SKILL
453,deployment as a service,SKILL
454,findability,SKILL
455,framework7,SKILL
456,fastly,SKILL
457,mustache,SKILL
458,requirejs,SKILL
459,voice over ip,SKILL
460,supervisory control,SKILL
461,distributed memory,SKILL
462,reachability,SKILL
463,cloud access management,SKILL
464,gitbucket,SKILL
465,expander graph,SKILL
466,atom,SKILL
467,data structures,SKILL
468,realtime backend   api,SKILL
469,title search,SKILL
470,base station,SKILL
471,helm,SKILL
472,statistical classification,SKILL
473,hogan js,SKILL
474,ios,SKILL
475,kotlin,SKILL
476,analysis of variance,SKILL
477,stylus,SKILL
478,motion compensation,SKILL
479,latex,SKILL
480,semantic ui,SKILL
481,postman,SKILL
482,knowledge retrieval,SKILL
483,motion detection,SKILL
484,webpack,SKILL
485,cloud firestore,SKILL
486,amazon kinesis firehose,SKILL
487,location based service,SKILL
488,grpc,SKILL
489,box,SKILL
490,ember js,SKILL
491,mobile analytics,SKILL
492,self management,SKILL
493,theoretical computer science,SKILL
494,computer security,SKILL
495,mongolab,SKILL
496,svn subversion,SKILL
497,redux,SKILL
498,software engineering,SKILL
499,passenger,SKILL
500,spreadsheets as a backend,SKILL
501,mariadb,SKILL
502,erlang,SKILL
503,response time,SKILL
504,distributed computing,SKILL
505,sidekiq,SKILL
506,"support, sales, and marketing",SKILL
507,group chat & notifications,SKILL
508,sql,SKILL
509,result set,SKILL
510,natural language understanding,SKILL
511,model-based reasoning,SKILL
512,enzyme,SKILL
513,engineering ethics,SKILL
514,mutual exclusion,SKILL
515,serverless,SKILL
516,node networking,SKILL
517,seesaw,SKILL
518,meteor,SKILL
519,amazon web services,SKILL
520,real-time data processing,SKILL
521,computer programming,SKILL
522,concurrent computing,SKILL
523,emotion,SKILL
524,regular language,SKILL
525,lottie,SKILL
526,uptime robot,SKILL
527,brackets,SKILL
528,microprocessor,SKILL
529,visual studio team services,SKILL
530,ai,SKILL
531,database security,SKILL
532,mixture model,SKILL
533,polymer,SKILL
534,clef,SKILL
535,latent dirichlet allocation,SKILL
536,tracking system,SKILL
537,d3 js,SKILL
538,prometheus,SKILL
539,amazon route 53,SKILL
540,insomnia rest client,SKILL
541,path analysis statistics,SKILL
542,flurry,SKILL
543,github api,SKILL
544,edit distance,SKILL
545,file uploads,SKILL
546,espace,SKILL
547,operations management,SKILL
548,program transformation,SKILL
549,logic in computer science,SKILL
550,thresholding,SKILL
551,information retrieval applications,SKILL
552,control reconfiguration,SKILL
553,asp.net,SKILL
554,decision support system,SKILL
555,parcel,SKILL
556,sails js,SKILL
557,content management,SKILL
558,real time operating system,SKILL
559,patent visualisation,SKILL
560,bibliometrics,SKILL
561,active shape model,SKILL
562,document retrieval,SKILL
563,wireless network,SKILL
564,geospatial analysis,SKILL
565,architectural engineering,SKILL
566,optical character recognition,SKILL
567,mobile backend,SKILL
568,data science,SKILL
569,confirmatory factor analysis,SKILL
570,object document mapper odm,SKILL
571,bibliographic database,SKILL
572,syntax,SKILL
573,distance transform,SKILL
574,go cd,SKILL
575,mobile robot,SKILL
576,xamarin,SKILL
577,screen sharing,SKILL
578,spectrogram,SKILL
579,containers as a service,SKILL
580,datalog,SKILL
581,intercom,SKILL
582,website monitoring,SKILL
583,pattern recognition psychology,SKILL
584,digital filter,SKILL
585,faceted search,SKILL
586,distributed file system,SKILL
587,brunch,SKILL
588,flash memory,SKILL
589,realtime analytics,SKILL
590,middleman,SKILL
591,ranking,SKILL
592,aws codecommit,SKILL
593,link relation,SKILL
594,access network,SKILL
595,apollo,SKILL
596,dropbox,SKILL
597,agricultural engineering,SKILL
598,cross-validation,SKILL
599,case-based reasoning,SKILL
600,adaptive system,SKILL
601,collision,SKILL
602,jquery ui,SKILL
603,software-defined radio,SKILL
604,risk analysis engineering,SKILL
605,realtime backend / api,SKILL
606,speckle pattern,SKILL
607,automated reasoning,SKILL
