,Text,Type
0,"3d math
",SKILL
1,"3d modeling software
",SKILL
2,"3d modeling
",SKILL
3,"3d packaging
",SKILL
4,"3d particles and dynamics
",SKILL
5,"3d printing
",SKILL
6,"3d production
",SKILL
7,"3d prototyping
",SKILL
8,"3d graphic design
",SKILL
9,"3d graphics
",SKILL
10,"Algorithms
",SKILL
11,"Autonomous Driving Cars
",SKILL
12,"Auditing
",SKILL
13,"AutoCAD
",SKILL
14,"Automotive
",SKILL
15,"Art
",SKILL
16,"Arduino
",SKILL
17,"AI 
",SKILL
18,"Artificial Intelligence
",SKILL
19,"Audio and video Processing
",SKILL
20,"Analytical Skills
",SKILL
21,"Adobe Photoshop
",SKILL
22,"Art Direction
",SKILL
23,"Automation
",SKILL
24,"Adobe Illustrator
",SKILL
25,"Adobe InDesign
",SKILL
26,"Agile Methodologies
",SKILL
27,"Apache Subversion
",SKILL
28,"Apache Kafka
",SKILL
29,"Applied Mathematics
",SKILL
30,"Automated marketing software
",SKILL
31,"Advanced Signal Processing Techniques
",SKILL
32,"Automated Billing Systems
",SKILL
33,"AWS
",SKILL
34,"AWS CodeCommit
",SKILL
35,"Amazon web services
",SKILL
36,"Amazon Api Gateway
",SKILL
37,"Amazon Athena
",SKILL
38,"Amazon Cloudfront
",SKILL
39,"Amazon Cloudwatch
",SKILL
40,"Amazon Cognito
",SKILL
41,"Amazon Dynamodb
",SKILL
42,"Amazon Ebs
",SKILL
43,"Amazon Ec2
",SKILL
44,"Amazon Ec2 Container Service
",SKILL
45,"Amazon Eks
",SKILL
46,"Amazon Elasticache
",SKILL
47,"Amazon Elasticsearch Service
",SKILL
48,"Amazon Emr
",SKILL
49,"Amazon Kinesis
",SKILL
50,"Amazon Kinesis Firehose
",SKILL
51,"Amazon Machine Learning
",SKILL
52,"Amazon Rds
",SKILL
53,"Amazon Rds For Aurora
",SKILL
54,"Amazon Rds For Postgresql
",SKILL
55,"Amazon Redshift
",SKILL
56,"Amazon Route 53
",SKILL
57,"Amazon S3
",SKILL
58,"Amazon Ses
",SKILL
59,"Amazon Sns
",SKILL
60,"Amazon Sqs
",SKILL
61,"Amazon Vpc
",SKILL
62,"Amazon Web Services
",SKILL
63,"Anomaly Detection
",SKILL
64,"Apache Maven
",SKILL
65,"Automated Reasoning
",SKILL
66,"Automated Theorem Proving
",SKILL
67,"Automatic Programming
",SKILL
68,"Automatic Summarization
",SKILL
69,"Automatic Taxonomy Induction
",SKILL
70,"Automaton
",SKILL
71,"Aws Cloudformation
",SKILL
72,"Azure
",SKILL
73,"Azure Security
",SKILL
74,"Azure Machine Learning
",SKILL
75,"Backend Tech
",SKILL
76,"Business Analysis
",SKILL
77,"Budgeting
",SKILL
78,"Business Strategy
",SKILL
79,"Business Process Improvement
",SKILL
80,"Business Services
",SKILL
81,"Business Planning
",SKILL
82,"Branding
",SKILL
83,"Business Intelligence
",SKILL
84,"BI
",SKILL
85,"Business Process
",SKILL
86,"Bitbucket
",SKILL
87,"CAD
",SKILL
88,"computer-aided design
",SKILL
89,"Customer Service
",SKILL
90,"Communication
",SKILL
91,"Company Research
",SKILL
92,"Change Management
",SKILL
93,"Coaching
",SKILL
94,"Construction
",SKILL
95,"Customer Relationship Management
",SKILL
96,"Contractual Agreements
",SKILL
97,"Customer Satisfaction
",SKILL
98,"Contract Negotiation
",SKILL
99,"Creativity
",SKILL
100,"Computer Vision
",SKILL
101,"CVS (Concurrent Versions System)
",SKILL
102,"Content Management Systems (CMS)
",SKILL
103,"CMS
",SKILL
104,"Copywriting
",SKILL
105,"Content creation
",SKILL
106,"Calculus
",SKILL
107,"Cognitive Science
",SKILL
108,"CUDA
",SKILL
109,"Database Administration
",SKILL
110,"Databases SQL
",SKILL
111,"Design
",SKILL
112,"Databases
",SKILL
113,"Data Analysis
",SKILL
114,"Digital Marketing
",SKILL
115,"Decision Making
",SKILL
116,"Digital Media
",SKILL
117,"Documentation
",SKILL
118,"Digital media
",SKILL
119,"Data Modeling and Evaluation
",SKILL
120,"Data Science
",SKILL
121,"Drawing
",SKILL
122,"Development Tools
",SKILL
123,"DNS Management
",SKILL
124,"Docker
",SKILL
125,"Docker Machine
",SKILL
126,"Document Management System
",SKILL
127,"Domain Knowledge
",SKILL
128,"Domain Model
",SKILL
129,"Domain Registration
",SKILL
130,"DeepFace
",SKILL
131,"DevOps
",SKILL
132,"Event Planning
",SKILL
133,"Editing
",SKILL
134,"Entrepreneurship
",SKILL
135,"Email
",SKILL
136,"Employee Benefits Design
",SKILL
137,"Energy
",SKILL
138,"Electronics
",SKILL
139,"Enterprise Software
",SKILL
140,"Enterprise Systems
",SKILL
141,"Ecommerce
",SKILL
142,"Finance
",SKILL
143,"Financial Analysis
",SKILL
144,"Fundraising
",SKILL
145,"Facility Management
",SKILL
146,"Food and Beverage
",SKILL
147,"Forecasting
",SKILL
148,"Facilitation
",SKILL
149,"Facial recognition
",SKILL
150,"Financial Risk
",SKILL
151,"Financial Reporting
",SKILL
152,"Government Agencies
",SKILL
153,"Grocery
",SKILL
154,"Graphic Design
",SKILL
155,"Gas
",SKILL
156,"Graphics
",SKILL
157,"Grant Writing
",SKILL
158,"General Ledger
",SKILL
159,"Git
",SKILL
160,"GitHub
",SKILL
161,"GitTalk
",SKILL
162,"HTML
",SKILL
163,"HMI
",SKILL
164,"Heavy Equipment
",SKILL
165,"Hospitals
",SKILL
166,"Higher Education
",SKILL
167,"History
",SKILL
168,"Healthcare
",SKILL
169,"Hospitality Industry
",SKILL
170,"Helping Clients Succeed
",SKILL
171,"Healthcare Management
",SKILL
172,"HTML5
",SKILL
173,"Image segmentation
",SKILL
174,"Image restoration
",SKILL
175,"Information Technology
",SKILL
176,"Interpersonal Skills
",SKILL
177,"Information Systems
",SKILL
178,"Internal Audit
",SKILL
179,"Integration
",SKILL
180,"Insurance
",SKILL
181,"Investments
",SKILL
182,"Interviewing
",SKILL
183,"Invoicing
",SKILL
184,"Integrated Marketing
",SKILL
185,"Information Integration
",SKILL
186,"Information Management
",SKILL
187,"Information Model
",SKILL
188,"Information Overload
",SKILL
189,"Information Retrieval
",SKILL
190,"Information Retrieval Applications
",SKILL
191,"Information Retrieval Query Language
",SKILL
192,"Java
",SKILL
193,"Javascript
",SKILL
194,"JQuery
",SKILL
195,"Journalism
",SKILL
196,"Job Scanning
",SKILL
197,"Job Description Development
",SKILL
198,"Journals
",SKILL
199,"Joint Ventures
",SKILL
200,"Key Performance Indicators
",SKILL
201,"K12 Education
",SKILL
202,"Knowledge Management
",SKILL
203,"Kanban
",SKILL
204,"Keras
",SKILL
205,"Key Account Development
",SKILL
206,"Knowledge Sharing
",SKILL
207,"Knowledge Base
",SKILL
208,"Knowledge on quality and reliability
",SKILL
209,"Leadership
",SKILL
210,"Logistics Management
",SKILL
211,"Local Marketing
",SKILL
212,"Legal Issues
",SKILL
213,"Linux
",SKILL
214,"Leadership Development
",SKILL
215,"Laboratory Skills
",SKILL
216,"Leadership
",SKILL
217,"Lean Manufacturing
",SKILL
218,"Litigation
",SKILL
219,"Legal Writing
",SKILL
