,Clean_Resume,skills,Category
0,skill programming language python panda numpy scipy scikit learn matplotlib sql java javascript jquery machine learning regression svm na bayes knn random forest decision tree boosting technique cluster analysis word embedding sentiment analysis natural language processing dimensionality reduction topic modelling lda nmf pca neural net database visualization mysql sqlserver cassandra hbase elasticsearch d3 j dc j plotly kibana matplotlib ggplot tableau others regular expression html cs angular 6 logstash kafka python flask git docker computer vision open cv understanding deep learning education detail data science assurance associate data science assurance associate ernst young llp skill detail javascript exprience 24 month jquery exprience 24 month python exprience 24 monthscompany detail company ernst young llp description fraud investigation dispute service assurance technology assisted review tar technology assisted review assist accelerating review process run analytics generate report core member team helped developing automated review platform tool scratch assisting e discovery domain tool implement predictive coding topic modelling automating review resulting reduced labor cost time spent lawyer review understand end end flow solution research development classification model predictive analysis mining information present text data worked analyzing output precision monitoring entire tool tar assist predictive coding topic modelling evidence following ey standard developed classifier model order identify red flag fraud related issue tool technology python scikit learn tfidf word2vec doc2vec cosine similarity na bayes lda nmf topic modelling vader text blob sentiment analysis matplot lib tableau dashboard reporting multiple data science analytic project usa client text analytics motor vehicle customer review data received customer feedback survey data past one year performed sentiment positive negative neutral time series analysis customer comment across 4 category created heat map term survey category based frequency word extracted positive negative word across survey category plotted word cloud created customized tableau dashboard effective reporting visualization chatbot developed user friendly chatbot one product handle simple question hour operation reservation option chat bot serf entire product related question giving overview tool via qa platform also give recommendation response user question build chain relevant answer intelligence build pipeline question per user requirement asks relevant recommended question tool technology python natural language processing nltk spacy topic modelling sentiment analysis word embedding scikit learn javascript jquery sqlserver information governance organization make informed decision information store integrated information governance portfolio synthesizes intelligence across unstructured data source facilitates action ensure organization best positioned counter information risk scan data multiple source format parse different file format extract meta data information push result indexing elastic search created customized interactive dashboard using kibana preforming rot analysis data give information data help identify content either redundant outdated trivial preforming full text search analysis elastic search predefined method tag pii personally identifiable information social security number address name etc frequently targeted cyber attack tool technology python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag case fap fraud analytics investigative platform inbuilt case manager suite analytics various erp system used client interrogate accounting system identifying anomaly indicator fraud running advanced analytics tool technology html javascript sqlserver jquery cs bootstrap node j d3 j dc j,"['mysql', 'data science', 'decision tree', 'computer vision', 'python', 'jquery', 'predictive coding', 'natural language processing', 'regular expression', 'javascript', 'dimensionality reduction', 'git', 'parse', 'analytics', 'plotly', 'logstash', 'monitoring', 'machine learning', 'visualization', 'random forest', 'bot', 'numpy', 'cluster analysis', 'security', 'angular', 'kafka', 'time series', 'tableau', 'elasticsearch', 'database', 'deep learning', 'accounting', 'java', 'scikit learn', 'flask', 'sentiment analysis', 'programming language', 'file format', 'docker']",Data Science
1,education detail may 2013 may 2017 b e uit rgpv data scientist data scientist matelabs skill detail python exprience le 1 year month statsmodels exprience 12 month aws exprience le 1 year month machine learning exprience le 1 year month sklearn exprience le 1 year month scipy exprience le 1 year month kera exprience le 1 year monthscompany detail company matelabs description ml platform business professional dummy enthusiast 60 koramangala 5th block achievement task behind sukh sagar bengaluru india developed deployed auto preprocessing step machine learning mainly missing value treatment outlier detection encoding scaling feature selection dimensionality reduction deployed automated classification regression model linkedin com aditya rathore b4600b146 reasearch deployed time series forecasting model arima sarimax holt winter prophet worked meta feature extracting problem github com rathorology implemented state art research paper outlier detection mixed attribute company matelabs description,"['github', 'feature selection', 'python', 'machine learning', 'dimensionality reduction', 'outlier', 'ml', 'time series', 'business']",Data Science
2,area interest deep learning control system design programming python electric machinery web development analytics technical activity q hindustan aeronautics limited bangalore 4 week guidance mr satish senior engineer hangar mirage 2000 fighter aircraft technical skill programming matlab python java labview python webframework django flask ltspice intermediate language mipower intermediate github gitbash jupyter notebook xampp mysql basic python software package interpreter anaconda python2 python3 pycharm java ide eclipse operating system window ubuntu debian kali linux education detail january 2019 b tech electrical electronics engineering manipal institute technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy higher data science data science electrical enthusiast skill detail data analysis exprience le 1 year month excel exprience le 1 year month machine learning exprience le 1 year month mathematics exprience le 1 year month python exprience le 1 year month matlab exprience le 1 year month electrical engineering exprience le 1 year month sql exprience le 1 year monthscompany detail company themathcompany description currently working casino based operator name disclosed macau need segment customer visit property based value patron bring company basically prove segmentation done much better way current system proper number back henceforth implement target marketing strategy attract customer add value business,"['mysql', 'data science', 'django', 'python', 'segmentation', 'ubuntu', 'analytics', 'electrical engineering', 'data analysis', 'machine learning', 'eclipse', 'business', 'design', 'marketing', 'deep learning', 'jupyter notebook', 'flask', 'software', 'engineering', 'operating system', 'aeronautics', 'segment', 'github', 'linux']",Data Science
3,skill r python sap hana tableau sap hana sql sap hana pal m sql sap lumira c linear programming data modelling advance analytics scm analytics retail analytics social medium analytics nlp education detail january 2017 january 2018 pgdm business analytics great lake institute management illinois institute technology january 2013 bachelor engineering electronics communication bengaluru karnataka new horizon college engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill detail linear programming exprience 6 month retail exprience 6 month retail marketing exprience 6 month scm exprience 6 month sql exprience le 1 year month deep learning exprience le 1 year month machine learning exprience le 1 year month python exprience le 1 year month r exprience le 1 year monthscompany detail company deloitte usi description project involved analysing historic deal coming insight optimize future deal role given raw data carried end end analysis presented insight client key responsibility extract data client system across geography understand build report tableau infer meaningful insight optimize price find process blockade technical environment r tableau industry cross industry service area cross industry product project name handwriting recognition consultant 3 month project involved taking handwritten image converting digital text image object detection sentence creation role developing sentence correction functionality key responsibility gather data large enough capture english word train lstm model word technical environment python industry finance service area financial service bi development project name swift consultant 8 month project develop analytics infrastructure top sap 4 would user view financial report respective department reporting also included forecasting expense role leading offshore team key responsibility design develop data model reporting develop etl data flow validate various report technical environment sap hana tableau sap ao industry healthcare analytics service area life science product development project name clinical healthcare system consultant 2 month project develop analytics infrastructure top argus would allow user query faster provide advance analytics capability role involved design deploy phase performed lot data restructuring built model insight key responsibility design develop data model reporting develop deploy analytical model validate various report technical environment data modelling sap hana tableau nlp industry fmcg service area trade promotion project name consumption based planning flower food consultant 8 month project involved setting crm cbp module role involved key data decomposition activity setting base future year forecast course project developed various model carried key performance improvement key responsibility design develop hana model decomposition develop data flow forecast developed various view reporting customer sale fund validate various report bobj technical environment data modelling sap hana bobj time series forecasting internal initiative industry fmcg customer segmentation rfm analysis consultant 3 month initiative involved setting hana python interface advance analytics python course successfully segmented data five core segment using k mean carried rfm analysis python also developed algorithm categorize new customer defined bucket technical environment anaconda3 python3 6 hana sps12 industry telecom invoice state detection consultant 1 month initiative reduce manual effort verifying closed open invoice manually involved development decision tree classify open closed invoice enabled effort reduction 60 technical environment r sap pal sap hana sps12 accenture experience industry analytics cross industry process analytics sap senior developer 19 month accenture solution pvt ltd india project involved development sap analytics tool process analytics ipa role develop database object data model provide operational insight client role developed various finance related kpis spearheaded various deployment introduced sap predictive analytics reduce development time reuse functionality kpis prepared production planning report key responsibility involved information gather phase designed implemented sap hana data modelling using attribute view analytic view calculation view developed various kpi individually using complex sql script calculation view created procedure hana database took ownership developed dashboard functionality involved building data processing algorithm executed r server cluster analysis technical environment r sap hana sql industry cross industry accenture testing accelerator sap database developer 21 month accenture solution pvt ltd india role taken care development activity atas tool also completed various deployment product apart activity also actively involved maintenance database server production quality key responsibility analyzing business requirement understanding scope getting requirement clarified interacting business transform requirement generate attribute mapping document reviewing mapping specification documentation create update database object like table view stored procedure function package monitored sql server error log application log sql server agent prepared data flow diagram entity relationship diagram using uml responsible designing developing normalization database table experience performance tuning using sql profiler involved qa uat knowledge transfer support activity technical environment sql server 2008 2014 visual studio 2010 window server performance monitor sql server profiler c pl sql sql,"['data science', 'swift', 'decision tree', 'python', 'segmentation', 'data processing', 'deployment', 'testing', 'documentation', 'analytics', 'machine learning', 'cluster analysis', 'time series', 'finance', 'tableau', 'design', 'business', 'visual studio', 'marketing', 'support', 'deep learning', 'database', 'data flow diagram', 'object detection', 'data model', 'specification', 'diagram', 'engineering', 'server', 'segment', 'algorithm']",Data Science
4,education detail mca ymcaust faridabad haryana data science internship skill detail data structure exprience le 1 year month c exprience le 1 year month data analysis exprience le 1 year month python exprience le 1 year month core java exprience le 1 year month database management exprience le 1 year monthscompany detail company itechpower description,"['data analysis', 'python', 'database']",Data Science
5,skill c basic iot python matlab data science machine learning html microsoft word microsoft excel microsoft powerpoint recognition academic secured first place b tech education detail august 2014 may 2018 b tech ghatkesar andhra pradesh aurora scientific technological institute june 2012 may 2014 secondary education warangal telangana sr junior college data science skill detail m office exprience le 1 year month c exprience le 1 year month machine learning exprience le 1 year month data science exprience le 1 year month matlab exprience le 1 year monthscompany detail company description,"['python', 'data science', 'machine learning']",Data Science
6,skill python tableau data visualization r studio machine learning statistic iabac certified data scientist versatile experience 1 year managing business data science consulting leading innovation project bringing business idea working real world solution strong advocator augmented era human capability enhanced machine fahed passionate bringing business concept area machine learning ai robotics etc real life solution education detail january 2017 b tech computer science engineering mohali punjab indo global college engineering data science consultant data science consultant datamites skill detail machine learning exprience 13 month python exprience 24 month solution exprience 24 month data science exprience 24 month data visualization exprience 24 month tableau exprience 24 monthscompany detail company datamites description analyzed processed complex data set using advanced querying visualization analytics tool responsible loading extracting validation client data worked manipulating cleaning processing data using python used tableau data visualization company heretic solution pvt ltd description worked closely business identify issue used data propose solution effective decision making manipulating cleansing processing data using python excel r analyzed raw data drawing conclusion developing recommendation used machine learning tool statistical technique produce solution problem,"['computer science', 'data science', 'data visualization', 'tableau', 'engineering', 'python', 'ai', 'machine learning', 'visualization', 'business', 'analytics']",Data Science
7,education detail b tech rayat bahra institute engineering biotechnology data science data science skill detail numpy exprience le 1 year month machine learning exprience le 1 year month tensorflow exprience le 1 year month scikit exprience le 1 year month python exprience le 1 year month gcp exprience le 1 year month panda exprience le 1 year month neural network exprience le 1 year monthscompany detail company wipro description bhawana aggarwal e mail bhawana chd com phone 09876971076 vversatile high energy professional targeting challenging assignment machine profile summary professional knowledge experience 2 year wipro technology machine learning deep learning data science python software development skilled managing end end development software product project inception requirement spec planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithm neural network nlp gcp knowledge python library like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learning like knn decision tree bias variance trade support vector machine svm logistic regression neural network knowledge unsupervised supervised reinforcement data programming experience relational platform like mysql oracle knowledge programming language like c java experience cloud based environment like google cloud working different operating system like linux ubuntu window good interpersonal communication skill problem solving skill ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability technical skill programming language python c library seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network k mean clustering tensorflow svm database sql oracle operating system linux window development environment netbeans notebook sublime ticketing tool service remedy education ug education b tech computer science rayat bahra institute engineering biotechnology passed 78 4 2016 schooling xii 2012 moti ram arya sr secondary school passed 78 4 x 2010 valley public school passed 9 4 cgpa work experince title wipro neural intelligence platform team size 5 brief wipro neural intelligence platform harness power automation artificial intelligence technology natural language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform easily access manage multiple structured unstructured data source intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time project entailed automating response user query earliest monster bot using power deep machine learning nlp handle query user see query answered quickly like alll1 activity eliminated entity extractor involves text extraction nlp fetching important information text like date name place contact number etc involves regex bluemix nlu api machine learning using tensor flow learning new entity classifier involves classification class training dataset predicting output using sklearn classifier mnb svm sgd classifier sgd optimization map user query best suited response make system efficient ner deep learning ner model trained extract entity text entity like role skill organization extracted raw text rnn lstm bidirectional model trained extracting entity using kera tensorflow framework project title diabetes detection brief developed software detect whether person suffering diabetes got third prize training certification title python training machine learning data science deep learning organization udemy coursera machine learning deep learning personal profile father name mr tirlok aggarwal language known english hindi marital status single date birth gender 1993 12 20 yyyy mm dd f company wipro description developing program python company wipro description title wipro neural intelligence platform team size 5 brief wipro neural intelligence platform harness power automation artificial intelligence technology natural language processing nlp cognitive machine learning analytics platform comprises three layer data engagement platform easily access manage multiple structured unstructured data source intent assessment reasoning engine includes sentiment predictive analytics deep machine learning engine sense act learn time project entailed automating response user query earliest monster bot using power deep machine learning nlp handle query user see query answered quickly like alll1 activity eliminated entity extractor involves text extraction nlp fetching important information text like date name place contact number etc involves regex bluemix nlu api machine learning using tensor flow learning new entity classifier involves classification class training dataset predicting output using sklearn classifier mnb svm sgd classifier sgd optimization map user query best suited response make system efficient ner deep learning ner model trained extract entity text entity like role skill organization extracted raw text rnn lstm bidirectional model trained extracting entity using kera tensorflow framework company wipro technology description professional knowledge experience 2 year wipro technology machine learning deep learning data science python software development skilled managing end end development software product project inception requirement spec planning designing implementation configuration documentation knowledge python machine learning deep learning data science algorithm neural network nlp gcp knowledge python library like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learning like knn decision tree bias variance trade support vector machine svm logistic regression neural network knowledge unsupervised supervised reinforcement data programming experience relational platform like mysql oracle knowledge programming language like c java experience cloud based environment like google cloud working different operating system like linux ubuntu window good interpersonal communication skill problem solving skill ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability,"['mysql', 'data science', 'decision tree', 'oracle', 'python', 'natural language processing', 'tensorflow', 'ubuntu', 'documentation', 'analytics', 'support vector machine', 'machine learning', 'bot', 'numpy', 'library', 'framework', 'deep learning', 'database', 'java', 'artificial intelligence', 'software', 'logistic regression', 'computer science', 'operating system', 'algorithm', 'programming language', 'linux', 'medium']",Data Science
8,personal skill ability quickly grasp technical aspect willingness learn high energy level result oriented education detail january 2018 master engineering computer technology application bhopal madhya pradesh truba institute engineering information technology january 2010 b e computer science bhopal madhya pradesh rkdf institute science technology college engineering january 2006 polytechnic information technology vidisha madhya pradesh sati engineering college vidisha january 2003 tech thesis detail bmch school ganj basoda data science six month experience data science key skill experience machine learning deep leaning nlp python sql web scraping good knowledge computer subject ability update skill detail experience machine learning deep learning nlp python sql web crawling html cs exprience le 1 year monthscompany detail company rnt ai technology solution description text classification using machine learning algorithm python practical knowledge deep learning algorithm recurrent neural network rnn develop custom data model algorithm apply dataset experience python package like panda scikit learn tensor flow numpy matplotliv nltk comfort sql mysql sentiment analysis apply leave dataset using classification technique like tf idf lsa cosine similarity using machine learning algorithm web crawling using selenium web driver beautiful soup python company life insurance corporation india bhopal description explaining policy feature benefit updated knowledge life insurance product shared customer,"['computer science', 'mysql', 'data science', 'engineering', 'python', 'ai', 'machine learning', 'deep learning', 'sentiment analysis', 'numpy', 'algorithm', 'scikit learn', 'selenium', 'data model']",Data Science
9,expertise data quantitative analysis decision analytics predictive modeling data driven personalization kpi dashboard big data query interpretation data mining visualization tool machine learning algorithm business intelligence bi research report forecast education detail pgp data science mumbai maharashtra aegis school data science business b e electronics communication electronics communication indore madhya pradesh y ip academy data scientist data scientist pr canada skill detail algorithm exprience 6 month bi exprience 6 month business intelligence exprience 6 month machine learning exprience 24 month visualization exprience 24 month spark exprience 24 month python exprience 36 month tableau exprience 36 month data analysis exprience 24 monthscompany detail company aegis school data science business description mostly working industry project providing solution along teaching appointment teach undergraduate graduate level course spark machine learning adjunct faculty member aegis school data science mumbai 2017 present company aegis school data business description data science intern nov 2015 jan 2016 furnish executive leadership team insight analytics report recommendation enabling effective strategic planning across business unit distribution channel product line chat bot using aws lex tensor flow python goal project creates chat bot academic institution university handle query related course offered institute objective task reduce human effort well reduce man made error even company handle client 24x7 case company academic institution client participant student web scraping using selenium web driver python task scrap data online messaging portal text format find pattern form data visualization data insight hadoop eco system hive pyspark qliksense goal project build business solution internet service provider company like handling data generated per day basis visualize data find usage pattern form generate report image based fraud detection microsoft face api pyspark open cv main goal project recognize similarity face given database image face recognition recognizing special face set different face face extracted compared database image image recognized person already applied loan somewhere else hiding identity going prevent fraud initial stage churn analysis internet service provider r python machine learning hadoop objective identify customer likely churn given period time pretend customer giving incentive offer sentiment analysis python nlp apache spark service ibm bluemix project highly emphasis tweet twitter data taken mobile network service provider sentiment analysis analyze whether expressed opinion positive negative neutral capture emotion tweet comparative analysis quantifiable result mentored 7 12 data science enthusiast year since gone graduate school data science business analytics reviewed evaluated 20 40 research paper data science one largest data science conference called data science congress aegis school business mumbai heading solution providing organization called data science delivered aegis school data science mumbai managed 4 5 live project using data science technique working social cause help data science social good committee team developed product called let find missing child helping society company ibm india pvt ltd description mostly worked blumix ibm watson data science,"['business intelligence', 'data science', 'data visualization', 'python', 'data mining', 'analytics', 'big data', 'data analysis', 'machine learning', 'visualization', 'bot', 'business', 'tableau', 'mobile', 'database', 'twitter', 'selenium', 'sentiment analysis', 'algorithm', 'emotion', 'hadoop']",Data Science
