,Text,Type
0,weebly,SKILL
1,digitalocean,SKILL
2,software-defined networking,SKILL
3,amazon s3,SKILL
4,package managers,SKILL
5,dynamic programming,SKILL
6,computer network,SKILL
7,redis cloud,SKILL
8,video tracking,SKILL
9,model based reasoning,SKILL
10,gradle,SKILL
11,c++,SKILL
12,time tracking,SKILL
13,webflow,SKILL
14,data quality,SKILL
15,database tools,SKILL
16,hyperspectral imaging,SKILL
17,api,SKILL
18,reachability,SKILL
19,dynamic testing,SKILL
20,web and video conferencing,SKILL
21,smart information retrieval system,SKILL
22,browsersync,SKILL
23,genetic algorithm,SKILL
24,display device,SKILL
25,source code management desktop apps,SKILL
26,hosted blogging platforms,SKILL
27,wide area network,SKILL
28,project management,SKILL
29,wakatime,SKILL
30,portainer,SKILL
31,mobile backend,SKILL
32,spree,SKILL
33,mixed model,SKILL
34,amplitude,SKILL
35,shared memory,SKILL
36,boolean expression,SKILL
37,intellij idea,SKILL
38,web server,SKILL
39,wordnet,SKILL
40,consul,SKILL
41,elm,SKILL
42,control theory,SKILL
43,component,SKILL
44,sonatype nexus,SKILL
45,code climate,SKILL
46,espace,SKILL
47,web document,SKILL
48,business,SKILL
49,liquibase,SKILL
50,stylelint,SKILL
51,perl 6,SKILL
52,sass,SKILL
53,mobile station,SKILL
54,batch processing,SKILL
55,api documentation browser,SKILL
56,object relational mapper orm,SKILL
57,maven,SKILL
58,linear search,SKILL
59,apache flink,SKILL
60,web app builders,SKILL
61,mechanical engineering,SKILL
62,spacevim,SKILL
63,process calculus,SKILL
64,denial of service attack,SKILL
65,folksonomy,SKILL
66,jsdoc,SKILL
67,eslint,SKILL
68,dc os,SKILL
69,next-generation network,SKILL
70,neo4j,SKILL
71,next.js,SKILL
72,open postgresql monitoring,SKILL
73,dynamic loading,SKILL
74,php-mvc,SKILL
75,material,SKILL
76,self hosted blogging / cms,SKILL
77,jquery mobile,SKILL
78,motion planning,SKILL
79,cross platform mobile tools,SKILL
80,skeleton,SKILL
81,scrutinizer,SKILL
82,named entity,SKILL
83,queueing theory,SKILL
84,jupyter,SKILL
85,program transformation,SKILL
86,karhunen–loève theorem,SKILL
87,html5,SKILL
88,static timing analysis,SKILL
89,base station,SKILL
90,robot,SKILL
91,jquery,SKILL
92,cross correlation,SKILL
93,management science,SKILL
94,documentation as a service & tools,SKILL
95,wavelength-division multiplexing,SKILL
96,user interface,SKILL
97,blind signal separation,SKILL
98,mathematical logic,SKILL
99,programmable logic device,SKILL
100,operating systems,SKILL
101,dnsimple,SKILL
102,data classification,SKILL
103,knowledge base,SKILL
104,multiprocessing,SKILL
105,critical section,SKILL
106,buddy,SKILL
107,amazon ec2 container service,SKILL
108,amazon eks,SKILL
109,k nearest neighbors algorithm,SKILL
110,linear regression,SKILL
111,data cube,SKILL
112,aboutness,SKILL
113,analysis of covariance,SKILL
114,typeform,SKILL
115,aws elastic beanstalk,SKILL
116,manufacturing engineering,SKILL
117,software defined networking,SKILL
118,postgis,SKILL
119,cloud access management,SKILL
120,memory management,SKILL
121,expander graph,SKILL
122,adaptive routing,SKILL
123,react navigation,SKILL
124,virtual circuit,SKILL
125,storm,SKILL
126,cakephp,SKILL
127,design,SKILL
128,android sdk,SKILL
129,serverless,SKILL
130,arangodb,SKILL
131,mesh networking,SKILL
132,dyn,SKILL
133,context-free language,SKILL
134,minio,SKILL
135,hexo,SKILL
136,flip-flop,SKILL
137,graphite,SKILL
138,human visual system model,SKILL
139,shrinkage,SKILL
140,time constraint,SKILL
141,facial recognition system,SKILL
142,inter process communication,SKILL
143,arboriculture,SKILL
144,rethinkdb,SKILL
145,parallel computing,SKILL
146,flyway,SKILL
147,visual basic,SKILL
148,mailjet,SKILL
149,zoho crm,SKILL
150,structured document,SKILL
151,computability theory,SKILL
152,cloud storage,SKILL
153,amazon kinesis firehose,SKILL
154,decidability,SKILL
155,spreadsheets online,SKILL
156,data transmission,SKILL
157,firefox,SKILL
158,urban airship,SKILL
159,resource allocation,SKILL
160,cucumber,SKILL
161,supercomputer,SKILL
162,frequency domain,SKILL
163,semantic matching,SKILL
164,protractor,SKILL
165,bitrise,SKILL
166,systems engineering,SKILL
167,exact algorithm,SKILL
168,perl,SKILL
169,machine learning tools,SKILL
170,decision rule,SKILL
171,redux saga,SKILL
172,automatic summarization,SKILL
173,generalization error,SKILL
174,node js,SKILL
175,amazon ses,SKILL
176,preact,SKILL
177,onsen ui,SKILL
178,look ahead,SKILL
179,grails,SKILL
180,filestack,SKILL
181,authentication,SKILL
182,resque,SKILL
183,polymer,SKILL
184,general analytics,SKILL
185,real time data processing,SKILL
186,computer-aided software engineering,SKILL
187,port computer networking,SKILL
188,backbone js,SKILL
189,brute force search,SKILL
190,context free language,SKILL
191,rust,SKILL
192,1password,SKILL
193,shields.io,SKILL
194,crm,SKILL
195,mobile telephony,SKILL
196,framework7,SKILL
197,xcode,SKILL
198,structural engineering,SKILL
199,crystal,SKILL
200,android,SKILL
201,boot2docker,SKILL
202,objective-c,SKILL
203,online algorithm,SKILL
204,statuscake,SKILL
205,diagram,SKILL
206,search engine,SKILL
207,google cloud storage,SKILL
208,homogeneity statistics,SKILL
209,query string,SKILL
210,electrical engineering,SKILL
211,aws codecommit,SKILL
212,semantic data model,SKILL
213,change detection,SKILL
214,kissmetrics,SKILL
215,multi objective optimization,SKILL
216,access control,SKILL
217,iterative reconstruction,SKILL
218,play,SKILL
219,consistency model,SKILL
220,sparkpost,SKILL
221,application programming interface,SKILL
222,3d,SKILL
223,knockoutjs,SKILL
224,knowledge acquisition,SKILL
225,keras,SKILL
226,disqus,SKILL
227,tornado,SKILL
228,expectation–maximization algorithm,SKILL
229,multi agent system,SKILL
230,styled-components,SKILL
231,passenger,SKILL
232,smoothing,SKILL
233,google sheets,SKILL
234,relay,SKILL
235,azure machine learning,SKILL
236,haml,SKILL
237,load management,SKILL
238,finite state machine,SKILL
239,microframeworks backend,SKILL
240,particle swarm optimization,SKILL
241,yii,SKILL
242,breadth first search,SKILL
243,curse of dimensionality,SKILL
244,nosql,SKILL
245,javascript,SKILL
246,dependency monitoring,SKILL
247,time-sharing,SKILL
248,shape analysis digital geometry,SKILL
249,divide and conquer algorithms,SKILL
250,high level programming language,SKILL
251,time domain,SKILL
252,game development,SKILL
253,google,SKILL
254,asp net,SKILL
255,js build tools / js task runners,SKILL
256,arborist,SKILL
257,computer graphics,SKILL
258,multimodal search,SKILL
259,mobile robot,SKILL
260,exception monitoring,SKILL
261,deontic logic,SKILL
262,self-hosted blogging   cms,SKILL
263,motion detection,SKILL
264,scale space,SKILL
265,virtual private cloud,SKILL
266,mariadb,SKILL
267,gatsby,SKILL
268,framer,SKILL
269,analysis of algorithms,SKILL
270,commerce,SKILL
271,architectural engineering,SKILL
272,couchdb,SKILL
273,linked data,SKILL
274,location-based service,SKILL
275,sparse approximation,SKILL
276,self-hosted blogging / cms,SKILL
277,distributed algorithm,SKILL
278,dynamic range,SKILL
279,boolean algebra,SKILL
280,cognitive neuroscience of visual object recognition,SKILL
281,snippet,SKILL
282,clojure,SKILL
283,echo,SKILL
284,numerical stability,SKILL
285,media access control,SKILL
286,sendwithus,SKILL
287,packer,SKILL
288,paypal,SKILL
289,presto,SKILL
290,binary search tree,SKILL
291,cassandra,SKILL
292,central processing unit,SKILL
293,gluon,SKILL
294,convergence routing,SKILL
295,cluster management,SKILL
296,data extraction,SKILL
297,surge,SKILL
298,cross platform desktop development,SKILL
299,frameworks full stack,SKILL
300,github,SKILL
301,similarity measure,SKILL
302,information flow information theory,SKILL
303,industrial engineering,SKILL
304,time sharing,SKILL
305,the julia language,SKILL
306,kanban for github issues,SKILL
307,case-based reasoning,SKILL
308,cloud monitoring,SKILL
309,pico-8,SKILL
310,postmark,SKILL
311,non-volatile memory,SKILL
312,data file,SKILL
313,email marketing,SKILL
314,unreal engine,SKILL
315,algorithms,SKILL
316,aws iam,SKILL
317,dokku,SKILL
318,point-to-point,SKILL
319,bayesian inference,SKILL
320,rule-based system,SKILL
321,gnu bash,SKILL
322,field programmable gate array,SKILL
323,semantic network,SKILL
324,fault tolerance,SKILL
325,random effects model,SKILL
326,version control system,SKILL
327,varnish,SKILL
328,hypercube,SKILL
329,apigee,SKILL
330,ruby,SKILL
331,clever cloud,SKILL
332,electronic engineering,SKILL
333,google cloud container builder,SKILL
334,computer file,SKILL
335,salesforce sales cloud,SKILL
336,amazon rds for aurora,SKILL
337,puppet labs,SKILL
338,fortran,SKILL
339,cocoa touch ios,SKILL
340,algorithm design,SKILL
341,colorimetry,SKILL
342,data access,SKILL
343,iframely,SKILL
344,component analysis,SKILL
345,pico 8,SKILL
346,fusion,SKILL
347,concurrency,SKILL
348,doctrine 2,SKILL
349,ontology information science,SKILL
350,performance metric,SKILL
351,code collaboration & version control,SKILL
352,go cd,SKILL
353,k-nearest neighbors algorithm,SKILL
354,dedicated cloud hosting,SKILL
355,multilevel model,SKILL
356,information overload,SKILL
357,vuex,SKILL
358,contextual query language,SKILL
359,recursion,SKILL
360,beanstalk,SKILL
361,sensor tower,SKILL
362,activemq,SKILL
363,haproxy,SKILL
364,clion,SKILL
365,petroleum engineering,SKILL
366,redis,SKILL
367,continuous deployment,SKILL
368,risk analysis engineering,SKILL
369,data pre processing,SKILL
370,compiler,SKILL
371,geckoboard,SKILL
372,accounting,SKILL
373,transport engineering,SKILL
374,evolutionary algorithm,SKILL
375,kalman filter,SKILL
376,font,SKILL
377,hidden markov model,SKILL
378,unicorn,SKILL
379,cloudflare,SKILL
380,information management,SKILL
381,appium,SKILL
382,critical path method,SKILL
383,curve fitting,SKILL
384,devops,SKILL
